State,Dataset,URL,exist,exist comments,digital,digital comments,public,public comments,free,free comments,online,online comments,machine-readable,machine-readable comments,bulk,bulk comments,license,license comments,up-to-date,up-to-date comments,in repo,in repo comments,verifiable,verifiable comments,complete,complete comments,comments
Michigan,Companies,http://www.dleg.state.mi.us/bcs_corp/sr_corp.asp,1,,1,,1,,1,,1,,0,,0,,0,Copyright statement in footer.,1,,0,,0,,1,,
Michigan,Incarceration,"https://www.michigan.gov/corrections/0,4551,7-119-1441---,00.html",,,1,,1,,1,,1,,0,PDFs.,0,,0,Copyright statement in footer.,1,,0,,1,Site uses SSL.,,Does not provide per-facility records.,
Michigan,State-Owned Real Estate,no,0,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Checkbook,http://media.state.mi.us/MiTransparency,1,,1,,1,,1,,1,,0,Flash application.,0,,0,Copyright statement in footer.,0,Data is more than a month old.,0,,0,,0,Does not provide transaction-level data.,
Michigan,Address Points,no,0,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Legislative Data,no,1,,1,,1,,1,,1,,0,,0,,0,AUP says that “users must respect the legal protection provided by copyright…to…data made available by The Services.”,1,,0,,0,,1,,
Michigan,Restaurant Inspections,no,0,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Population Projections,"http://www.michigan.gov/cgi/0,4548,7-158-54534_51713_51716-116118--,00.html",1,,1,,1,,1,,1,,1,Excel files.,1,,0,Copyright statement in footer.,0,Does not appear to have been updated for perhaps a decade.,0,,0,,0,Does not provide GNIS IDs.,
Michigan,Vehicle Crashes,http://www.michigantrafficcrashfacts.org/,1,,1,,1,,1,,1,,0,PDFs.,0,,0,Copyright statement in footer.,1,,1,Maybe? See https://data.michigan.gov/dataset/MIAccidents/efay-8wge,,,,,
New Jersey,Companies,https://www.njportal.com/dor/businessrecords/,1,,1,,1,,0,Records are $6.25 each.,1,,1,,0,Each record must be selected individually to be downloaded.,0,,1,,0,,1,Site uses SSL.,,Have not purchased data to verify.,
New Jersey,Incarceration,http://www.state.nj.us/corrections/pages/offender_stats.html,1,,1,,1,,1,,1,,0,PDF generated from Excel.,0,,0,Copyright statement in footer.,1,,0,,0,,0,Does not indicate facilities’ capacity or population change over time.,
New Jersey,State-Owned Real Estate,no,0,,,,,,,,,,,,,,,,,,,,,,,,
